codeiso2,nb_international_connections,nb_substations,grid_connectivity
AF,10.0,76.0,40x67 + 2x2 + 2x2 + 2x1 + 2x1 + 2x1 + 1x1 + 1x1 + 1x1 + 1x1
AL,,,
DZ,8.0,755.0,357x784 + 11x10 + 4x4 + 3x2 + 3x2 + 2x2 + 2x2 + 2x1 + 2x1 + 2x1 + 1x1 + 1x1
AD,,,
AO,2.0,176.0,56x78 + 3x4 + 3x2 + 2x1 + 2x1 + 2x1 + 1x1 + 1x1
AG,,,
AR,,,
AM,,,
AU,,,
AT,,,
AZ,,,
BH,1.0,44.0,3x8 + 1x1
BD,6.0,328.0,185x299 + 2x1 + 2x1
BB,,,
BY,,,
BE,,,
BZ,,,
BJ,7.0,26.0,12x16
BT,8.0,38.0,10x16 + 2x4 + 2x1 + 1x1 + 1x1
BO,1.0,231.0,71x96 + 4x5 + 4x3 + 3x3 + 3x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1
BA,,,
BW,10.0,98.0,48x79 + 10x10 + 3x2 + 3x2 + 3x2 + 2x1 + 2x1 + 1x1 + 1x1
BR,,,
BN,0.0,109.0,23x28
BG,,,
BF,3.0,27.0,7x9 + 7x7
BI,3.0,9.0,6x7 + 1x1
KH,4.0,58.0,38x48 + 6x6 + 2x1 + 2x1
CM,2.0,45.0,8x13 + 5x5 + 2x1
CA,,,
CV,0.0,17.0,2x1 + 2x1
CF,0.0,4.0,2x1
TD,0.0,9.0,2x1
CL,,,
CO,6.0,554.0,214x528 + 5x4 + 3x5 + 3x3 + 3x2 + 3x2 + 2x10 + 2x1 + 2x1 + 2x1 + 1x1 + 1x1
KM,,,
CR,,,
HR,,,
CU,,,
CY,,,
CZ,,,
CD,10.0,197.0,76x124 + 5x4 + 3x6 + 3x2 + 2x3 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x2 + 1x2
DK,,,
DJ,2.0,9.0,6x12
DM,,,
DO,,,
EC,4.0,620.0,79x91 + 44x57 + 12x11 + 6x6 + 6x6 + 5x4 + 5x4 + 4x3 + 3x2 + 3x2 + 3x2 + 3x2 + 3x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1
EG,3.0,691.0,606x1177 + 3x5 + 3x2 + 2x1 + 2x1 + 2x1 + 2x1
SV,,,
GQ,0.0,20.0,15x19
ER,0.0,8.0,4x3
EE,,,
SZ,5.0,36.0,17x22
ET,4.0,197.0,155x246 + 4x3 + 1x1
FM,,,
FJ,,,
FI,,,
FR,,,
GA,0.0,23.0,6x6 + 3x2
GE,,,
DE,,,
GH,7.0,95.0,53x186 + 1x1
GR,,,
GD,,,
GT,,,
GN,4.0,23.0,16x24 + 1x1 + 1x1
GW,2.0,5.0,4x5
GY,,,
HT,,,
HN,,,
HU,,,
IS,,,
IN,,,
ID,,,
IR,,,
IQ,10.0,507.0,312x533 + 6x6 + 6x6 + 3x6 + 2x3 + 2x2 + 2x2 + 2x1 + 2x1 + 1x3 + 1x1 + 1x1 + 1x1
IE,,,
IL,,,
IT,,,
CI,4.0,86.0,53x92 + 1x1
JM,,,
JP,,,
JO,3.0,68.0,52x97 + 1x1
KZ,,,
KE,3.0,260.0,77x104
NL,,,
KI,,,
KW,2.0,350.0,110x210 + 5x6 + 4x6 + 3x5 + 2x1
KG,61.0,396.0,62x177 + 12x17 + 8x9 + 3x4 + 3x3 + 3x2 + 3x2 + 2x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x3 + 1x1 + 1x1
LA,22.0,142.0,94x164 + 3x3 + 3x3 + 2x3 + 2x2 + 2x1 + 2x1 + 2x1 + 1x1 + 1x1 + 1x1 + 1x1
LV,,,
LB,3.0,33.0,19x27 + 2x1
LS,4.0,50.0,10x10 + 3x2 + 2x1 + 2x1 + 2x1 + 1x1
LR,3.0,8.0,3x4 + 3x2 + 1x1
LY,,,
LI,,,
LT,,,
LU,,,
MG,0.0,22.0,4x3
MW,1.0,51.0,41x57
MY,,,
MV,,,
ML,3.0,16.0,13x16
MT,,,
MH,,,
MR,3.0,17.0,7x7 + 2x2 + 2x2
MU,,,
MX,,,
MD,,,
MC,,,
MN,6.0,263.0,134x177 + 5x4 + 3x3 + 3x2 + 3x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x1 + 1x1 + 1x1
ME,,,
MA,4.0,592.0,367x823 + 5x11 + 4x3 + 3x2 + 3x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x3 + 1x2
MZ,8.0,93.0,45x63 + 18x32 + 3x3 + 2x1
MM,4.0,307.0,144x198 + 7x6 + 5x5 + 4x28 + 2x1 + 2x1 + 2x1 + 2x1 + 1x1
NA,11.0,247.0,105x139 + 5x4 + 3x2 + 2x1 + 2x1 + 2x1 + 1x1 + 1x1 + 1x1
NR,,,
NP,8.0,171.0,34x47 + 14x14 + 8x9 + 4x4 + 2x1 + 1x1
NZ,,,
NI,,,
NE,2.0,17.0,8x8 + 5x5 + 2x1
NG,3.0,288.0,109x165 + 5x4 + 4x3 + 4x3 + 3x2 + 3x2 + 3x2 + 3x2 + 2x4 + 2x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1
KP,,,
MK,,,
NO,,,
OM,9.0,333.0,148x300 + 3x2 + 2x2 + 2x1 + 2x1 + 2x1
PK,2.0,973.0,660x1136 + 9x12 + 5x5 + 5x5 + 3x4 + 3x2 + 3x2 + 3x2 + 2x3 + 2x2 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x3 + 1x1 + 1x1
PW,,,
PA,4.0,78.0,48x76 + 2x1 + 2x1
PG,,,
PY,,,
CN,,,
PE,2.0,7181.0,255x431 + 6x7 + 6x6 + 6x5 + 3x2 + 3x2 + 3x2 + 2x4 + 2x2 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 2x1 + 1x3 + 1x1 + 1x1
PH,,,
PL,,,
PT,,,
QA,1.0,177.0,56x88 + 3x2 + 2x1
CG,2.0,26.0,20x23 + 2x2 + 2x1
RO,,,
RU,,,
RW,10.0,39.0,30x38 + 1x1
KN,,,
LC,,,
VC,,,
WS,,,
SM,,,
SA,,,
SN,9.0,60.0,21x27 + 6x9 + 2x1 + 1x2
RS,,,
SC,,,
SL,2.0,10.0,5x6 + 3x2
SG,,,
SK,,,
SI,,,
SB,,,
SO,,,
ZA,,,
